,title,publisher,img,release_date,critic_score,console
180,ACA NEOGEO SHOCK TROOPERS,Hamster Corporation,/games/boxart/full_6875035AmericaFrontccc.png,2017-03-03,7.0,"NS, XOne, PS4"
192,ACA NEOGEO THE KING OF FIGHTERS '97,Hamster Corporation,/games/boxart/full_5243719AmericaFrontccc.png,2017-11-02,7.1,"PS4, XOne, NS"
194,ACA NEOGEO THE KING OF FIGHTERS '99,Hamster Corporation,/games/boxart/full_9979347AmericaFrontccc.png,2017-05-25,6.7,"NS, XOne"
197,ACA NEOGEO THE LAST BLADE 2,Hamster Corporation,/games/boxart/full_7344872AmericaFrontccc.jpeg,2018-02-15,7.7,"XOne, PS4, NS"
203,ACA NEOGEO WAKU WAKU 7,Hamster Corporation,/games/boxart/full_6155891AmericaFrontccc.png,2017-03-03,7.3,"NS, XOne"
209,ACORN Tactics,TACS Games,/games/boxart/full_7510392AmericaFrontccc.png,2017-12-07,5.1,NS
212,AGEOD's American Civil War: 1861-1865 - The Blue and the Gray,Take-Two Interactive,/games/boxart/full_ageods-american-civil-war-1861-1865-the-blue-and-the-gray_495AmericaFront.jpg,2008-01-28,6.3,PC
214,AI War: Fleet Command,"Arcen Games, LLC",/games/boxart/full_5805983AmericaFrontccc.jpg,2009-10-22,8.0,PC
217,AI: The Somnium Files,Spike Chunsoft,/games/boxart/full_8143197AmericaFrontccc.jpg,2019-09-17,8.5,"PC, PS4, NS"
218,AI: The Somnium Files - nirvanA Initiative,Spike Chunsoft,/games/boxart/full_3085761AmericaFrontccc.jpg,2022-06-24,8.5,NS
219,AKB1/149: Love Election,Namco Bandai Games,/games/boxart/full_2353942JapanFrontccc.jpg,2013-09-12,8.3,PS3
221,AMY,Lexis Numerique,/games/boxart/default.jpg,2020-12-31,8.5,PC
222,ANNO: Mutationem,Sony Computer Entertainment,/games/boxart/full_8614171AmericaFrontccc.jpg,2020-12-01,7.1,PS4
223,AO International Tennis,Big Ant Studios,/games/boxart/default.jpg,2018-05-08,5.0,"XOne, PC, PS4"
224,AO Tennis 2,Big Ben Interactive,/games/boxart/full_5683236AmericaFrontccc.jpg,2020-01-09,6.9,"PC, XOne, PS4, NS"
225,APB Reloaded,IGS,/games/boxart/full_apb-reloaded_649AmericaFront.jpg,2011-12-01,5.6,PC
226,AQUA KITTY UDX,Tikipod,/games/boxart/full_7093374AmericaFrontccc.png,2018-02-15,7.4,NS
228,ARK Park,Snail Games USA,/games/boxart/full_9337128AmericaFrontccc.jpg,2018-03-22,4.6,"PC, PS4"
229,ARK: Survival Evolved,Studio Wildcard,/games/boxart/full_1856885AmericaFrontccc.jpg,2015-06-02,4.0,"PC, PS4, XOne, NS"
230,ARMS,Nintendo,/games/boxart/full_84620AmericaFrontccc.png,2017-06-16,7.9,NS
231,ATLAS,Studio Wildcard,/games/boxart/full_1195755AmericaFrontccc.jpg,2018-12-19,3.7,"PC, XOne"
232,ATOMIK: RunGunJumpGun,Gambitious,/games/boxart/full_4570157AmericaFrontccc.png,2018-02-08,7.8,NS
235,AVICII Invector,Wired Productions,/games/boxart/full_3358298AmericaFrontccc.jpg,2019-12-11,8.1,"PC, XOne, PS4, NS"
236,AWAY: Journey to the Unexpected,PLAYDIUS,/games/boxart/full_3370050AmericaFrontccc.png,2018-12-30,5.4,NS
239,AaaaaAAaaaAAAaaAAAAaAAAAA!!! A Reckless Disregard for Gravity,Dejobaan Games,/games/boxart/full_8649845AmericaFrontccc.jpg,2009-09-03,8.1,PC
240,Aaru's Awakening,Unknown,/games/boxart/full_3490355AmericaFrontccc.jpg,2013-09-29,5.9,"PC, PS3, PS4"
241,Aban Hawkins & the 1001 Spikes,8bits fanatics,/games/boxart/default.jpg,2011-01-18,7.8,"X360, PC, PS4"
243,Absolute Drift,Funselektor Labs Inc.,/games/boxart/full_4958785AmericaFrontccc.jpg,2015-07-29,7.0,PC
244,Abyss Odyssey,Atlus,/games/boxart/default.jpg,2014-07-15,6.9,"PC, PS3, X360"
245,Accel World vs. Sword Art Online: Millennium Twilight,Namco Bandai Games,/games/boxart/full_2611676PALFrontccc.jpg,2017-07-07,6.4,"PS4, PC"
249,Ace Combat 7: Skies Unknown,Bandai Namco Games,/games/boxart/full_7158445AmericaFrontccc.jpg,2019-01-18,8.0,"XOne, PS4, PC"
250,Ace Combat: Assault Horizon,Namco Bandai,/games/boxart/full_ace-combat-assault-horizon_251AmericaFront.jpg,2011-10-11,7.2,"X360, PS3"
251,Ace Combat: Infinity,Namco Bandai Games,/games/boxart/default.jpg,2020-12-31,5.4,PS3
255,Aces of the Galaxy,Sierra Entertainment,/games/boxart/full_aces-of-the-galaxy_391AmericaFront.jpg,2008-06-04,7.5,PC
256,Achron,Unknown,/games/boxart/default.jpg,2011-08-29,5.4,PC
257,Achtung Panzer: Kharkov 1943,Paradox Interactive,/games/boxart/full_achtung-panzer-kharkov-1943_894AmericaFront.jpg,2010-02-25,7.0,PC
258,Act of Aggression,Focus Home Interactive,/games/boxart/full_648670PALFrontccc.jpg,2015-09-02,7.1,PC
259,Actraiser Renaissance,Square Enix,/games/boxart/full_3953067AmericaFrontccc.jpg,2021-09-23,7.4,NS
263,Adr1ft,505 Games,/games/boxart/full_605098AmericaFrontccc.jpg,2016-03-28,6.4,"PC, PS4"
264,Adrenalin Misfits,Konami,/games/boxart/full_adrenalin-misfits_3AmericaFront.jpg,2010-11-04,4.7,X360
269,Adventure Time: Explore the Dungeon Because I Don't Know!,D3Publisher,/games/boxart/full_4387640AmericaFrontccc.jpg,2013-11-19,4.0,"PS3, X360, PC"
270,Adventure Time: Finn & Jake Investigations,Little Orbit,/games/boxart/full_6377144AmericaFrontccc.jpg,2015-10-20,6.6,"PS3, XOne, PS4, X360, PC"
271,Adventure Time: Pirates of the Enchiridion,Outright Games,/games/boxart/full_3770916AmericaFrontccc.jpg,2018-07-17,6.2,"XOne, PS4, NS"
272,Adventure Time: The Secret of the Nameless,Little Orbit,/games/boxart/default.jpg,2015-01-01,6.5,"PS3, PC"
273,Adventure Time: The Secret of the Nameless Kingdom,Little Orbit,/games/boxart/full_4008801AmericaFrontccc.jpg,2014-10-18,6.5,"X360, PS3, PC, X360"
274,Adventures of Shuggy,Smudged Cat Games,/games/boxart/full_1448640AmericaFrontccc.jpg,2012-06-13,7.7,PC
276,Aegis Defenders,Humble Bundle,/games/boxart/full_7821969AmericaFrontccc.png,2018-02-08,7.4,NS
277,Aegis of Earth: Protonovus Assault,Aksys Games,/games/boxart/full_8984132AmericaFrontccc.jpg,2016-03-15,4.0,"PS4, PS3"
279,AereA,Soedesco,/games/boxart/full_9884159AmericaFrontccc.jpg,2017-07-28,4.6,"XOne, PC, PS4"
280,AeternoBlade,"Corecell Technology Co.,Ltd.",/games/boxart/full_1971718AmericaFrontccc.png,2018-02-01,5.9,NS
281,Afrika,Natsume,/games/boxart/full_9734021AmericaFrontccc.png,2009-10-06,6.0,PS3
282,Afro Samurai,Namco Bandai,/games/boxart/full_205063AmericaFrontccc.jpg,2009-01-27,6.4,"X360, PS3"
283,Afro Samurai 2,Versus Evil,/games/boxart/default.jpg,2015-10-01,2.1,"XOne, PS4, PC"
285,Afterfall: InSanity,Unknown,/games/boxart/full_1092908AmericaFrontccc.jpg,2011-11-25,5.0,"PC, X360"
286,Afterimage,Modus Games,/games/boxart/full_1452811AmericaFrontccc.jpg,2023-04-25,7.9,"PS5, XOne, XS, NS, PC, PS4"
